,ID,Logits,Predicted Labels,Gold Labels
0,623534.html.xmi,[ 0.32226562 -0.49023438],0,0
1,624440.xmi,[ 0.39453125 -0.7109375 ],0,0
2,710054.xmi,[ 0.390625   -0.11523438],0,0
3,ECLI_CZ_NS_2018_29.CDO.572.2018.1.xmi,[-2.21875   1.828125],1,1
4,ECLI_CZ_NS_2003_20.CDO.1981.2002.1.xmi,[-0.62109375  0.67578125],1,1
5,ECLI_CZ_NS_2003_33.ODO.9.2003.1.xmi,[-1.875      1.7578125],1,1
6,ECLI_CZ_NS_2018_23.CDO.5145.2017.1.xmi,[ 0.07373047 -0.32421875],0,1
7,ECLI_CZ_NS_2012_3.TZ.80.2012.1.xmi,[-0.65625    0.6640625],1,1
8,ECLI_CZ_NS_2009_29.ODO.988.2006.1.xmi,[-0.703125    0.01757812],1,0
9,ECLI_CZ_NS_2000_26.CDO.1115.2000.1.xmi,[-0.8984375   0.55078125],1,1
10,ECLI_CZ_NS_2021_27.CDO.754.2020.2.xmi,[-0.59375   0.296875],1,1
11,ECLI_CZ_NS_1997_2.ODON.41.97.1.xmi,[-1.7265625  1.6328125],1,1
12,ECLI_CZ_NS_2003_4.TZ.13.2003.1.xmi,[-0.20019531  0.46484375],1,0
13,ECLI_CZ_NS_2018_28.NCU.43.2018.1.xmi,[-1.9375    1.046875],1,1
14,714509.xmi,[ 1.859375  -1.4296875],0,0
15,ECLI_CZ_NS_2018_27.CDO.1950.2017.1.xmi,[0.03027344 0.11035156],1,0
16,ECLI_CZ_NS_2009_8.TDO.1596.2008.1.xmi,[-0.640625    0.06738281],1,0
17,ECLI_CZ_NS_2021_33.CDO.3027.2020.1.xmi,[-0.71484375  0.17089844],1,1
18,ECLI_CZ_NS_2015_4.TZ.18.2015.1.xmi,[ 0.15136719 -0.33789062],0,0
19,246118.xmi,[ 1.         -0.65234375],0,1
20,ECLI_CZ_NS_2018_7.TDO.94.2018.1.xmi,[-0.2890625   0.23144531],1,0
21,635665.xmi,[-1.6328125  1.4296875],1,1
22,239085.html.xmi,[-0.25585938  0.5546875 ],1,1
23,635275.xmi,[ 1.0390625 -1.1328125],0,0
24,ECLI_CZ_NS_2003_21.CDO.850.2002.1.xmi,[-0.25585938  0.23535156],1,1
25,614872.xmi,[-1.3984375  1.359375 ],1,1
26,ECLI_CZ_NS_2009_4.ND.244.2009.1.xmi,[ 1.03125   -0.6953125],0,0
27,ECLI_CZ_NS_2006_33.ODO.1377.2004.1.xmi,[ 0.02294922 -0.20996094],0,1
28,636184.xmi,[-1.2421875  1.1640625],1,1
