,ID,Logits,Predicted Labels,Gold Labels
0,623534.html.xmi,[ 1.3203125  -0.49609375],0,0
1,624440.xmi,[ 1.078125  -0.6328125],0,0
2,710054.xmi,[0.03833008 0.578125  ],1,0
3,ECLI_CZ_NS_2018_29.CDO.572.2018.1.xmi,[-1.3046875  1.484375 ],1,1
4,ECLI_CZ_NS_2003_20.CDO.1981.2002.1.xmi,[-0.22558594  1.1484375 ],1,1
5,ECLI_CZ_NS_2003_33.ODO.9.2003.1.xmi,[-0.98046875  1.5625    ],1,1
6,ECLI_CZ_NS_2018_23.CDO.5145.2017.1.xmi,[ 9.8828125e-01 -6.5231323e-04],0,1
7,ECLI_CZ_NS_2012_3.TZ.80.2012.1.xmi,[-0.36523438  0.44921875],1,1
8,ECLI_CZ_NS_2009_29.ODO.988.2006.1.xmi,[0.32617188 0.41210938],1,0
9,ECLI_CZ_NS_2000_26.CDO.1115.2000.1.xmi,[-0.42578125  0.84375   ],1,1
10,ECLI_CZ_NS_2021_27.CDO.754.2020.2.xmi,[0.43164062 0.22265625],0,1
11,ECLI_CZ_NS_1997_2.ODON.41.97.1.xmi,[-0.76171875  1.4296875 ],1,1
12,ECLI_CZ_NS_2003_4.TZ.13.2003.1.xmi,[-0.55859375  0.6953125 ],1,0
13,ECLI_CZ_NS_2018_28.NCU.43.2018.1.xmi,[-0.91015625  1.375     ],1,1
14,714509.xmi,[ 1.6171875  -0.66015625],0,0
15,ECLI_CZ_NS_2018_27.CDO.1950.2017.1.xmi,[ 1.46875    -0.01525879],0,0
16,ECLI_CZ_NS_2009_8.TDO.1596.2008.1.xmi,[ 0.47070312 -0.2578125 ],0,0
17,ECLI_CZ_NS_2021_33.CDO.3027.2020.1.xmi,[ 0.6015625  -0.07128906],0,1
18,ECLI_CZ_NS_2015_4.TZ.18.2015.1.xmi,[0.68359375 0.17382812],0,0
19,246118.xmi,[ 1.1640625 -0.3984375],0,1
20,ECLI_CZ_NS_2018_7.TDO.94.2018.1.xmi,[0.23144531 0.15820312],0,0
21,635665.xmi,[-1.21875    1.5859375],1,1
22,239085.html.xmi,[-0.47070312  0.8359375 ],1,1
23,635275.xmi,[ 1.625     -0.8984375],0,0
24,ECLI_CZ_NS_2003_21.CDO.850.2002.1.xmi,[0.23535156 0.37304688],1,1
25,614872.xmi,[-1.0625     1.6796875],1,1
26,ECLI_CZ_NS_2009_4.ND.244.2009.1.xmi,[0.69140625 0.12158203],0,0
27,ECLI_CZ_NS_2006_33.ODO.1377.2004.1.xmi,[0.09277344 0.5390625 ],1,1
28,636184.xmi,[-1.109375  1.359375],1,1
